Name,Slug,Phone,Website,Type,Image,Country,URLPattern,DisplayName
Alpine Post,alpine-post,+41-44-555-0123,https://example.com,globalpost,https://example.com/logo.svg,CH,https://example.com/track?tracking_id={tracking_id},Alpine Post
Danube Express,danube-express,+43-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,AT,https://example.com/track?tracking_id={tracking_id},Danube Express
Vistula Shipping,vistula-shipping,+48-22-555-0123,https://example.com,globalpost,https://example.com/logo.svg,PL,https://example.com/track?tracking_id={tracking_id},Vistula Shipping
Bohemian Post,bohemian-post,+420-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,CZ,https://example.com/track?tracking_id={tracking_id},Bohemian Post
Carpathian Express,carpathian-express,+36-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,HU,https://example.com/track?tracking_id={tracking_id},Aegean Express,aegean-express,+30-210-555-0123,https://example.com,globalpost,https://example.com/logo.svg,GR,https://example.com/track?tracking_id={tracking_id},Aegean Express
Lusitanian Shipping,lusitanian-shipping,+351-21-555-0123,https://example.com,globalpost,https://example.com/logo.svg,PT,https://example.com/track?tracking_id={tracking_id},Lusitanian Shipping
Scandinavian Post,scandinavian-post,+46-8-555-0123,https://example.com,globalpost,https://example.com/logo.svg,SE,https://example.com/track?tracking_id={tracking_id},Scandinavian Post
Nordic Express,nordic-express,+47-22-555-0123,https://example.com,globalpost,https://example.com/logo.svg,NO,https://example.com/track?tracking_id={tracking_id},Nordic Express
Fennoscandian Parcel,fennoscandian-parcel,+358-9-555-0123,https://example.com,globalpost,https://example.com/logo.svg,FI,https://example.com/track?tracking_id={tracking_id},Fennoscandian Parcel
Jutland Post,jutland-post,+45-70-555-0123,https://example.com,globalpost,https://example.com/logo.svg,DK,https://example.com/track?tracking_id={tracking_id},Jutland Post
Emerald Express,emerald-express,+353-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,IE,https://example.com/track?tracking_id={tracking_id},Emerald Express
Luxembourg Shipping,luxembourg-shipping,+352-555-0123,https://example.com,globalpost,https://example.com/logo.svg,LU,https://example.com/track?tracking_id={tracking_id},Luxembourg Shipping
Tatra Express,tatra-express,+421-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,SK,https://example.com/track?tracking_id={tracking_id},Tatra Express
Julian Alps Shipping,julian-alps-shipping,+386-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,SI,https://example.com/track?tracking_id={tracking_id},Julian Alps Shipping
Baltic Express,baltic-express,+370-5-555-0123,https://example.com,globalpost,https://example.com/logo.svg,LT,https://example.com/track?tracking_id={tracking_id},Baltic Express
Gulf of Riga Shipping,gulf-of-riga-shipping,+371-67-555-0123,https://example.com,globalpost,https://example.com/logo.svg,LV,https://example.com/track?tracking_id={tracking_id},Gulf of Riga Shipping
Baltic Sea Post,baltic-sea-post,+372-6-555-0123,https://example.com,globalpost,https://example.com/logo.svg,EE,https://example.com/track?tracking_id={tracking_id},Baltic Sea Post
Maltese Express,maltese-express,+356-21-555-0123,https://example.com,globalpost,https://example.com/logo.svg,MT,https://example.com/track?tracking_id={tracking_id},Maltese Express
Cypriot Shipping,cypriot-shipping,+357-22-555-0123,https://example.com,globalpost,https://example.com/logo.svg,CY,https://example.com/track?tracking_id={tracking_id},Cypriot Shipping
Balkan Express,balkan-express,+359-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,BG,https://example.com/track?tracking_id={tracking_id},Balkan Express
Carpathian Post,carpathian-post,+40-21-555-0123,https://example.com,globalpost,https://example.com/logo.svg,RO,https://example.com/track?tracking_id={tracking_id},Carpathian Post
Dalmatian Shipping,dalmatian-shipping,+385-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,HR,https://example.com/track?tracking_id={tracking_id},Dalmatian Shipping
Danube Post,danube-post,+381-11-555-0123,https://example.com,globalpost,https://example.com/logo.svg,RS,https://example.com/track?tracking_id={tracking_id},Danube Post
Dinaric Express,dinaric-express,+387-33-555-0123,https://example.com,globalpost,https://example.com/logo.svg,BA,https://example.com/track?tracking_id={tracking_id},Dinaric Express
Illyrian Shipping,illyrian-shipping,+355-4-555-0123,https://example.com,globalpost,https://example.com/logo.svg,AL,https://example.com/track?tracking_id={tracking_id},Illyrian Shipping
Macedonian Express,macedonian-express,+389-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,MK,https://example.com/track?tracking_id={tracking_id},Macedonian Express
Adriatic Post,adriatic-post,+382-20-555-0123,https://example.com,globalpost,https://example.com/logo.svg,ME,https://example.com/track?tracking_id={tracking_id},Adriatic Post
Balkan Post,balkan-post,+383-38-555-0123,https://example.com,globalpost,https://example.com/logo.svg,XK,https://example.com/track?tracking_id={tracking_id},Balkan Post
Anatolian Express,anatolian-express,+90-444-555-0123,https://example.com,globalpost,https://example.com/logo.svg,TR,https://example.com/track?tracking_id={tracking_id},Anatolian Express
Levantine Shipping,levantine-shipping,+972-1-700-555-0123,https://example.com,globalpost,https://example.com/logo.svg,IL,https://example.com/track?tracking_id={tracking_id},Levantine Shipping
Phoenician Express,phoenician-express,+961-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,LB,https://example.com/track?tracking_id={tracking_id},Phoenician Express
Jordanian Shipping,jordanian-shipping,+962-6-555-0123,https://example.com,globalpost,https://example.com/logo.svg,JO,https://example.com/track?tracking_id={tracking_id},Jordanian Shipping
Arabian Express,arabian-express,+966-920-555-0123,https://example.com,globalpost,https://example.com/logo.svg,SA,https://example.com/track?tracking_id={tracking_id},Arabian Express
Gulf Shipping,gulf-shipping,+971-600-555-0123,https://example.com,globalpost,https://example.com/logo.svg,AE,https://example.com/track?tracking_id={tracking_id},Gulf Shipping
Qatari Express,qatari-express,+974-440-555-0123,https://example.com,globalpost,https://example.com/logo.svg,QA,https://example.com/track?tracking_id={tracking_id},Qatari Express
Persian Gulf Express,persian-gulf-express,+965-180-555-0123,https://example.com,globalpost,https://example.com/logo.svg,KW,https://example.com/track?tracking_id={tracking_id},Persian Gulf Express
Pearl Express,pearl-express,+973-1721-555-0123,https://example.com,globalpost,https://example.com/logo.svg,BH,https://example.com/track?tracking_id={tracking_id},Pearl Express
Omani Shipping,omani-shipping,+968-2477-555-0123,https://example.com,globalpost,https://example.com/logo.svg,OM,https://example.com/track?tracking_id={tracking_id},Omani Shipping
Yemeni Express,yemeni-express,+967-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,YE,https://example.com/track?tracking_id={tracking_id},Yemeni Express
Nile Shipping,nile-shipping,+20-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,EG,https://example.com/track?tracking_id={tracking_id},Nile Shipping
Maghreb Express,maghreb-express,+218-21-555-0123,https://example.com,globalpost,https://example.com/logo.svg,LY,https://example.com/track?tracking_id={tracking_id},Maghreb Express
Carthage Post,carthage-post,+216-71-555-0123,https://example.com,globalpost,https://example.com/logo.svg,TN,https://example.com/track?tracking_id={tracking_id},Carthage Post
Berber Express,berber-express,+213-21-555-0123,https://example.com,globalpost,https://example.com/logo.svg,DZ,https://example.com/track?tracking_id={tracking_id},Berber Express
Amazigh Shipping,amazigh-shipping,+212-522-555-0123,https://example.com,globalpost,https://example.com/logo.svg,MA,https://example.com/track?tracking_id={tracking_id},Amazigh Shipping
Saharan Express,saharan-express,+27-86-555-0123,https://example.com,globalpost,https://example.com/logo.svg,ZA,https://example.com/track?tracking_id={tracking_id},Saharan Express
Nigerian Shipping,nigerian-shipping,+234-9-555-0123,https://example.com,globalpost,https://example.com/logo.svg,NG,https://example.com/track?tracking_id={tracking_id},Nigerian Shipping
Savannah Express,savannah-express,+254-20-555-0123,https://example.com,globalpost,https://example.com/logo.svg,KE,https://example.com/track?tracking_id={tracking_id},Savannah Express
Gold Coast Express,gold-coast-express,+233-30-555-0123,https://example.com,globalpost,https://example.com/logo.svg,GH,https://example.com/track?tracking_id={tracking_id},Gold Coast Express
Horn of Africa Express,horn-of-africa-express,+251-11-555-0123,https://example.com,globalpost,https://example.com/logo.svg,ET,https://example.com/track?tracking_id={tracking_id},Horn of Africa Express
Kilimanjaro Shipping,kilimanjaro-shipping,+255-22-555-0123,https://example.com,globalpost,https://example.com/logo.svg,TZ,https://example.com/track?tracking_id={tracking_id},Kilimanjaro Shipping
Victoria Express,victoria-express,+256-414-555-0123,https://example.com,globalpost,https://example.com/logo.svg,UG,https://example.com/track?tracking_id={tracking_id},Victoria Express
Zambezi Shipping,zambezi-shipping,+263-24-555-0123,https://example.com,globalpost,https://example.com/logo.svg,ZW,https://example.com/track?tracking_id={tracking_id},Zambezi Shipping
Copperbelt Express,copperbelt-express,+260-211-555-0123,https://example.com,globalpost,https://example.com/logo.svg,ZM,https://example.com/track?tracking_id={tracking_id},Copperbelt Express
Malawi Express,malawi-express,+265-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,MW,https://example.com/track?tracking_id={tracking_id},Malawi Express
Mozambique Channel Express,mozambique-channel-express,+258-21-555-0123,https://example.com,globalpost,https://example.com/logo.svg,MZ,https://example.com/track?tracking_id={tracking_id},Mozambique Channel Express
Angola Express,angola-express,+244-222-555-0123,https://example.com,globalpost,https://example.com/logo.svg,AO,https://example.com/track?tracking_id={tracking_id},Angola Express
Kalahari Express,kalahari-express,+267-365-555-0123,https://example.com,globalpost,https://example.com/logo.svg,BW,https://example.com/track?tracking_id={tracking_id},Kalahari Express
Namib Desert Express,namib-desert-express,+264-61-555-0123,https://example.com,globalpost,https://example.com/logo.svg,NA,https://example.com/track?tracking_id={tracking_id},Namib Desert Express
Pampas Express,pampas-express,+54-11-555-0123,https://example.com,globalpost,https://example.com/logo.svg,AR,https://example.com/track?tracking_id={tracking_id},Pampas Express
Amazon Express,amazon-express,+55-61-555-0123,https://example.com,globalpost,https://example.com/logo.svg,BR,https://example.com/track?tracking_id={tracking_id},Amazon Express
Andes Express,andes-express,+56-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,CL,https://example.com/track?tracking_id={tracking_id},Andes Express
Inca Express,inca-express,+51-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,PE,https://example.com/track?tracking_id={tracking_id},Inca Express
Caribbean Express,caribbean-express,+57-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,CO,https://example.com/track?tracking_id={tracking_id},Caribbean Express
Orinoco Express,orinoco-express,+58-212-555-0123,https://example.com,globalpost,https://example.com/logo.svg,VE,https://example.com/track?tracking_id={tracking_id},Orinoco Express
Galapagos Express,galapagos-express,+593-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,EC,https://example.com/track?tracking_id={tracking_id},Galapagos Express
